content,score,label
baik,4,positif
Terima kasih semoga sukses dalam usahanya,5,positif
"Sudah seminggu lebih saya tidak bisa cek keranjang selalu ada gangguan. Sudah saya update apk, hapus data/cache, relogin, coba menggunakan versi web tetap error. Tapi jika memakai akun lain normal",1,negatif
"apk susah,error mulu pas mau bayar mending shopee aja.",1,negatif
"SELAMAT TINGGAL APOTIK ONLINE, SUDAH GUA TINGGALKAN SEMENJAK TIAP KALI MAU CO ""OBAT KERAS INI PERLU KONSULTASI DOKTER"" LAH DOKTER OFFLINE LANGGANAN KAN UDH KONSULTASI RUTIN DAN ADA BUKTI FOTO RESEP DOKTER. BELUM LAGI PRODUK YANG DISARANKAN MELENCENG DARI OBAT YANG UDAH DI INCAR (MISAL BEDA LAPAK ATAU BENERAN BEDA OBAT) RIBEEET MENDING KE APOTIK OFFLINE DAH.",1,negatif
perbaiki tokopedia sering erorrrr,4,positif
mantap,5,positif
"Sekarang pelayanannya sungguh mengecewakan,makin ke sini pelayanan sangat BURUK sekali",1,negatif
"belum pernah belanja sama sekali di apk ini, tapi voucher belanja pertama gabisa di gunain 🤣",1,negatif
mantap broo,5,positif
Tolong Tokopedia benah lagi untuk bagian membeli VCD pop batak,1,negatif
mantab,5,positif
mantap,5,positif
Tokopedia memang top ..👍👍👍,5,positif
bisa jual anak lagi,5,positif
apk tai,1,negatif
"Pengguna baru, voucher nya cuma dikit dan harusnya bisa dipake biar dpet voucher lain mlh voucher pengguna baru gabisa dipake, malah dapet harga asli no voucher,Trus pas voucher nya mau dipake malah katanya ga tersedia, padahal aku pengguna baru loh",1,negatif
"gak bisa checkout cod, voucher hangus percuma install",1,negatif
tidak dapat terbuka sempurna di samsung a17,4,positif
puas amanah terpercaya pokonya id the best,5,positif
pas mau co GK bisa bisa,2,negatif
"makin kesini makin nggak jelas nih aplikasi...gua mau tarik balik uang gua yang ngendep disini aja pake vermuk, KTP juga...Lo kira gua mau pinjol kali yak...ini bukan kesalahan gua...tapi toko ya yang maen batalin pesenan gua...padahal gua bayar pake cash dari bank yang gua pake",1,negatif
Dibilang bagus juga nggak dibilang jelek juga nggak,4,positif
apk sampah jelek pelit amat gada gratis ongkir pantes kalah saing sama shope wkwk mana pelayanan nya kek knthol,1,negatif
voucher gimmick tai,1,negatif
Sangat Baik,5,positif
baik,5,positif
mantap,5,positif
"komplain di tokopedia tidak adil, barang tidak di terima, tapi tidak di perhatikan, malah di bolak balik dengan sistem yg ngawur. saya delete.... karma akan terwujud....",1,negatif
good bngt,5,positif
Refund saldo ribet + kena biaya admin,1,negatif
makin parah refund ga masuk dan ga bisa buat belanja semua otp invalid harus menggunakan toped versi terbaru padahal baru 6 juni 2026 diupdate anjiing,1,negatif
Oke banget,5,positif
ok,5,positif
mantaffff,5,positif
"kepada Tokopedia, mohon pesanan saya dibatalkan otomatis jika reseller menggunakan kurir TIKI. TIKI biang kerok penipuan dan terretasnya akun Tokopedia saya, akibat dari tidak diblurnya no Hp saya diresi paket dan atau beri opsi pembatalan manual jika paket akan dikirimkan. terima kasih",1,negatif
"ngeselin bgt mw login pake verifikasi sgla , mana pas gw tro kode eh mlh eror mulu , padahal udh bener kodeny, berkali kali gw coba, kecewa siii....",1,negatif
"min tolong deh, adain upload produk² afilite biar gampang masa ya ini ngga ada untuk upload video afilite harud tiktok adain lagi dong min plissss aku mohon",5,positif
"gajelas ngasih voucher, gimick doang hadeh, mending shopee walau dari negara sebelah, karena udah jelas lebih bagus kualitasnya ga kayak apk ini, saran hapus aja tuh tokopedia",1,negatif
"tarik uang gagal trs ,,,gak ada solusi",1,negatif
"VERIFIKASI LO BUAT NARIK DANA REFUND KELAMAAN BODOH, NYUSAHAIN TOKO ONLINE SAMPAH",1,negatif
knp ya aku gbs make promonya? pdhl blm pernah cekout apa' baru first tapi gbs? trs buat apa nampilin produk diskon seperti itu kalo gbs digunakan? cara mengatasi nya gmna ya?,3,netral
bnyk promony the best deh,5,positif
"woiii benerin sistem apk lu kocak, ga efisien banget. masa udh tf payment riwayat transaksinya gaada!!!?. kayak langsung hilang kek kita ga pesen apa'. BOBROK KALI QIMK GUA UDH TF YA JNK DUIT W GA BISA BALIK SIYALAN!!! BENERIN APK LU YG BENER!! PERUSAHAAN GEDE BANYAK BLUNDE LU KOCAK. DIH!",5,positif
"perasaan apk sebelah ga seribet ini kalo mau narik dana refund, awas aja klo duitku ga balik",1,negatif
Tokbed disko nyah yang beneran atuh kaya mainan ajah diskon nyah harga naik 30 pesen diskonn5 persen yang beneran atuh diskon nyah kaya tipu tipuan sih diskin nyah,1,negatif
mantap,5,positif
"muak kli dikit2 pesanan dibatalkan, voucher potongannya hangus",1,negatif
dapet voucher pengguna baru ga bisa di pake percuma alasannya ada kendala mulu gajelas banget benerin noh server lu biar ga eror mulu,1,negatif
jelek sekarang ni aplikasi beli pulsa eror ngasih voucher gak bisa di pakai gak nempel ongkir mahal suka lag gak jelas,1,negatif
toped good,5,positif
mantap Tokopedia,5,positif
mantap,5,positif
